rank, word, likelyhood 
656, ATLAS, 1.5885187500000004e-06
657, RHODE, 1.5830041499999997e-06
658, CRACK, 1.5822112320000002e-06
659, WIDER, 1.5803424e-06
660, SHOWS, 1.57995747e-06
661, JOINT, 1.5787233600000003e-06
662, BURST, 1.5760239299999998e-06
663, TOWNS, 1.575013125e-06
664, DRUMS, 1.57077144e-06
665, FRANK, 1.5707004360000002e-06
666, MAKER, 1.5680264600000003e-06
667, VOTED, 1.5653164800000001e-06
668, STORY, 1.5636621000000003e-06
669, BLOOD, 1.55815296e-06
670, CHEST, 1.5579901260000001e-06
671, RANCH, 1.5538535040000002e-06
672, SAFER, 1.5517352760000002e-06
673, BLANK, 1.5510986400000002e-06
674, FINAL, 1.54614096e-06
675, SUCKS, 1.5420593999999997e-06
676, RIVER, 1.528981272e-06
677, TEXTS, 1.52641125e-06
678, ELLEN, 1.5258698e-06
679, SWISS, 1.5233904e-06
680, TRIBE, 1.5190200000000001e-06
681, NOTRE, 1.513017e-06
682, POKER, 1.50827586e-06
683, KOREA, 1.5082476500000003e-06
684, SAGEM, 1.50541482e-06
685, WOUND, 1.5046656e-06
686, FIBER, 1.50132528e-06
687, HAVEN, 1.500946902e-06
688, WRIST, 1.50072192e-06
689, MARIO, 1.496649825e-06
690, KATIE, 1.490602755e-06
691, FRUIT, 1.4885837279999997e-06
692, RACKS, 1.4778497999999999e-06
693, HEATH, 1.4688769679999997e-06
694, TRACK, 1.4650104e-06
695, DRILL, 1.4636787840000002e-06
696, FOCUS, 1.4545944e-06
697, DRUGS, 1.454418e-06
698, LABEL, 1.4540489600000003e-06
699, FATAL, 1.4515523100000002e-06
700, SPAIN, 1.4513041839999997e-06
701, WENDY, 1.4506128000000002e-06
702, TOUCH, 1.4374080000000002e-06
703, MOTOR, 1.4273663249999998e-06
704, STAGE, 1.4271625e-06
705, SMILE, 1.42134336e-06
706, DISKS, 1.416933e-06
707, BADGE, 1.4165775000000002e-06
708, STOPS, 1.4157325000000002e-06
709, EAGLE, 1.4114923500000002e-06
710, CHINA, 1.409213376e-06
